['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้นำระเบิดแสวงเครื่องหนัก 5 ก.ก.จุดชนวนด้วยรีโมตคอนโทรลไปวางไว้ที่ริมถนนสายบาเจาะ-บ้านทอนช่วงบริเวณบ้านดูกู ม.3 ต.บลาเจาะ ||| และได้จุดชนวนระเบิด
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ระเบิดไม่ทำงาน ||| จากนั้นคนร้ายที่เหลือจึงได้ใช้อาวุธปืนยิงใส่เจ้าหน้าที่
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ระเบิดไม่ทำงาน ||| คนร้ายที่เหลือจึงได้ใช้อาวุธปืนยิงใส่เจ้าหน้าที่
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| คนร้ายที่เหลือจึงได้ใช้อาวุธปืนยิงใส่เจ้าหน้าที่ ||| จนเสียชีวิตและได้รับบาดเจ็บดังกล่าว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เสียชีวิต ||| และได้รับบาดเจ็บดังกล่าว
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| หลังจากก่อเหตุ ||| คนร้ายยังได้หยิบอาวุธปืนเอ็ม_16จำนวน 2 กระบอกและอาวุธปืนพกสั้นขนาด 11 มม. ของเจ้าหน้าที่ทหารหลบหนีไปด้วย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ยังได้โปรยตะปูเรือใบ ||| และตัดขวางทางบนถนนบริเวณหน้ากูโบร์ (สุสาน) ม.6 บ้านบาลอ ต.บาลอ อ.รามันจ.ยะลา
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้เข้าไปเคลียร์พื้นที่เรียบร้อยแล้ว ||| และยังได้ลอบวางวัตถุต้องสงสัยบริเวณหน้าวิทยาลัยการอาชีพรามัน อ.รามันจ.ยะลา
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ได้เข้าไปตรวจสอบ ||| และยิงทำลาย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เข้าปิดล้อม ||| และค้นในพื้นที่บ้านบาโด ม.3. ต.ยุโป อ.เมืองจ.ยะลาจำนวน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| กดดันกลุ่มผู้ก่อความไม่สงบ ||| และติดตามคนร้ายตามหมายพรก.
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| กดดันกลุ่มผู้ก่อความไม่สงบและติดตามคนร้ายตามหมายพรก. ||| หลังสืบทราบว่ากลุ่มผู้ก่อความไม่สงบระดับแกนนำจำนวน 11 คนหลบซ่อนอยู่ในพื้นที่ดังกล่าว
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ในเบื้องต้นพบว่ามีทะเบียนถูกต้อง ||| แต่ทางเจ้าหน้าที่ได้ตรวจยึดไว้ตรวจสอบ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ไหวตัวทัน ||| และหลบหนีไปก่อนหน้านี้
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เซ็นใบสมัครเป็นสมาชิกพรรคพลังประชาชน ||| และจะมีการหารือเรื่องทาบทามเป็นหัวหน้าพรรค
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ต้องให้นายสมัครตอบเองว่าจะตอบรับหรือไม่ ||| เพราะถึงขณะนี้มีเพียงการให้สัมภาษณ์ของคนอื่นและแหล่งข่าวเท่านั้น
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| นายสมัครยังไม่เคยออกมาเปิดเผยเรื่องราวด้วยตนเอง ||| ดังนั้นควรรอให้มีความชัดเจนมากกว่า
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| กรณีที่มีข่าวว่านายสมัครเซ็นใบสมัครเป็นสมาชิกพรรคพลังประชาชนและจะมีการหารือเรื่องทาบทามเป็นหัวหน้าพรรคนั้นตนว่าเรื่องนี้ต้องให้นายสมัครตอบเองว่าจะตอบรับหรือไม่เพราะถึงขณะนี้มีเพียงการให้สัมภาษณ์ของคนอื่นและแหล่งข่าวเท่านั้นนายสมัครยังไม่เคยออกมาเปิดเผยเรื่องราวด้วยตนเองดังนั้นควรรอให้มีความชัดเจนมากกว่า ||| ส่วนกระแสข่าวที่ว่านายสมัครตอบรับเป็นหัวหน้าพรรคเพื่อขัดตาทัพนั้นตนไม่ทราบว่าจะขัดตาทัพให้แก่ใครแต่หากคิดว่าเป็นใบสั่งจาก พ.ต.ท.ทักษิณ ชินวัตรรัฐมนตรีที่หลายฝ่ายมองว่าคนทั้งคู่มีความสัมพันธ์กันระดับหนึ่งนั้นตนเชื่อว่าคนอย่างนายสมัครไม่มีทางไปรับใบสั่งของใครเพราะเป็นคนมีอิสระทางความคิด
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ตนไม่ทราบว่าจะขัดตาทัพให้แก่ใคร ||| แต่หากคิดว่าเป็นใบสั่งจาก พ.ต.ท.ทักษิณ ชินวัตรรัฐมนตรีที่หลายฝ่ายมองว่าคนทั้งคู่มีความสัมพันธ์กันระดับหนึ่งนั้นตนเชื่อว่าคนอย่างนายสมัครไม่มีทางไปรับใบสั่งของใครเพราะเป็นคนมีอิสระทางความคิด
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ไม่มีทางไปรับใบสั่งของใคร ||| เพราะเป็นคนมีอิสระทางความคิด
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| น่าจะมีปัจจัยมาจากต้องการความมันส์ หรืออยากทำงานการเมืองต่อไป ||| เพราะขณะนี้ถือว่าสุขภาพยังดีทำงานไหว
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| หากนายสมัครตอบรับตำแหน่งหัวหน้าพรรคพลังประชาชนน่าจะมีปัจจัยมาจากต้องการความมันส์ หรืออยากทำงานการเมืองต่อไปเพราะขณะนี้ถือว่าสุขภาพยังดีทำงานไหว ||| ส่วนคดีรถดับเพลิงที่นายสมัครตกเป็นผู้ถูกกล่าวหานั้นเห็นว่าเป็นการสู้กันตามหลักฐาน
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| นายสมัครจะเข้าไปเพื่อไปต่อรองคดีนี้ ||| เพราะนายสมัครเชื่อมั่นในความบริสุทธิ์ตนเอง
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| การดำเนินการทุกอย่างก็มีเหตุมีผล ||| เพียงแต่ขอให้เปิดโอกาสให้พิสูจน์ความจริงเท่านั้น
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| การดำเนินการทุกอย่างก็มีเหตุมีผลเพียงแต่ขอให้เปิดโอกาสให้พิสูจน์ความจริงเท่านั้น ||| อีกทั้งนายสมัครก็ไม่มีความแค้นกับใครการทำปฏิวัติที่ผ่านมาก็ไม่เกี่ยวกับนายสมัครแม้แต่น้อยรวมถึงการที่เคยวิพากษ์วิจารณ์ประธานองคมนตรีก็คลี่คลายไปหมดแล้ว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| นายสมัครก็ไม่มีความแค้นกับใคร ||| การทำปฏิวัติที่ผ่านมาก็ไม่เกี่ยวกับนายสมัครแม้แต่น้อย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| การทำปฏิวัติที่ผ่านมาก็ไม่เกี่ยวกับนายสมัครแม้แต่น้อย ||| รวมถึงการที่เคยวิพากษ์วิจารณ์ประธานองคมนตรีก็คลี่คลายไปหมดแล้ว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เสียใจ ||| และทำให้ภาพลักษณ์เมืองที่น่าอยู่แดนอริยสงฆ์เสียหาย
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| มีกฎหมายอยู่ในมือ ||| แต่เพิกเฉย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ทอดพระเนตรงานบั้งไฟพญานาคที่ จ.หนองคายผ่านสถานีโทรทัศน์ที่ถ่ายทอดให้เห็นภาพหญิงสาวนุ่งน้อยห่มน้อยแสดงท่าเต้นด้วยท่าทางที่ยั่วยุทางเพศอย่างยิ่ง ||| และมีพระราชกระแสว่าควรพิจารณาด้วยของความเป็นพุทธศาสนิกชนรู้กาลเทศะ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| มีพระราชกระแสว่าควรพิจารณาด้วยของความเป็นพุทธศาสนิกชนรู้กาลเทศะ ||| ตลอดจนคำนึงถึงชื่อเสียงของประเทศไทย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เรื่องการกระทำที่ไม่เหมาะสมถึงผู้ว่าราชการจังหวัดหนองคาย ||| จึงขอสำเนาหนังสือมายังกระทรวง
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ขอแสดงความเสียใจ ||| และกราบชาว จ.หนองคายที่ทำให้ภาพลักษณ์การเป็นเมืองที่น่าอยู่ขนบธรรมเนียมประเพณีอันดีงามและความเป็นเมืองแห่งอริยสงฆ์ของ จ.หนองคายเสียหาย
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เป็นการรู้เท่าไม่ถึงการณ์ ||| และมิได้มีเจตนาที่จะทำความเสื่อมเสียแก่ชาวหนองคายแต่อย่างใด
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| เป็นการรู้เท่าไม่ถึงการณ์และมิได้มีเจตนาที่จะทำความเสื่อมเสียแก่ชาวหนองคายแต่อย่างใดซึ่งตามที่สื่อมวลชนเสนอข่าวว่าทำการแสดงในบริเวณวัดไทยนั้นขอเรียนว่าไม่เป็นความจริงแต่อย่างใดเป็นการแสดงบริเวณริมถนนในเขตเทศบาลตำบลจุมพล ||| ดังนั้นข้าพเจ้าจึงเรียนมายังผู้ว่าราชการจังหวัดหนองคายเพื่อกราบชาว จ.หนองคายที่มีเหตุการณ์เช่นนี้เกิดขึ้น
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ข้าพเจ้าขอเรียนว่าจะไม่ทำให้เกิดเหตุการณ์ในลักษณะเช่นนี้เกิดขึ้นอีก ||| และยินดีที่จะร่วมมือกับชาว จ.หนองคาย
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| มีพระราชปรารภเรื่องความไม่เหมาะสมเกี่ยวกับการแต่งกายของผู้หญิง ||| จึงบังคับใช้กฎหมายให้เข้มงวดขึ้นคือ พ.ร.บ.คุ้มครองเด็ก
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| อาจถูกฟ้องร้อง ||| และอาจออกกฎหมายลูกเพิ่มเติม
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ที่ไม่อนุญาตให้เด็กอายุต่ำกว่า 20 ปีหาอาชีพพิเศษจากการแสดงเต้นโคโยตี้-พริตตี้เพราะมีพระราชปรารภเรื่องความไม่เหมาะสมเกี่ยวกับการแต่งกายของผู้หญิงจึงบังคับใช้กฎหมายให้เข้มงวดขึ้นคือ พ.ร.บ.คุ้มครองเด็กหากเพิกเฉยอาจถูกฟ้องร้องและอาจออกกฎหมายลูกเพิ่มเติมเพื่อช่วยคุ้มครอง ||| ส่วนที่วิจารณ์งานพริตตี้กับโคโยตี้มีลักษณะต่างกันนั้นน.ส.ลัดดากล่าวว่างานมอเตอร์โชว์มักพูดกันว่าไม่ได้ไปดูรถแต่ไปดูพริตตี้หากเป็นพริตตี้ที่แต่งกายเหมาะสมคงไม่มีใครว่าอะไรแต่ปัจจุบันไม่ได้เป็นอย่างนั้น
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| หากเป็นพริตตี้ที่แต่งกายเหมาะสมคงไม่มีใครว่าอะไร ||| แต่ปัจจุบันไม่ได้เป็นอย่างนั้น
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| คุณหญิงไขศรีกล่าวหลังประชุมคณะรัฐมนตรี (ครม.) ว่าที่ประชุมยังไม่ได้หยิบยกประเด็นโคโยตี้มาหารือแต่ได้หารือร่วมกับรัฐมนตรีกระทรวงที่เกี่ยวข้องอย่างไม่เป็นทางการซึ่งจะผลักดันให้แก้ปัญหาอย่างจริงจังโดยร่วมมือกับทุกฝ่ายและได้ทำหนังสือเชิญองค์กรรัฐและเอกชนมาประชุมแก้ปัญหาระยะยาวในวันที่ 8 พฤศจิกายนนี้"ให้ ผอ.ศูนย์เฝ้าระวังทางวัฒนธรรมศึกษาข้อมูลหน่วยงานในกระทรวงวัฒนธรรมแต่ละกระทรวงว่ามีหน่วยงานใดดูแลเรื่องคุณธรรมบ้างเพื่อนำกฎหมายระเบียบข้อบังคับมาแก้ปัญหาโคโยตี้ ||| ประชุมคณะรัฐมนตรี (ครม.)
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ประชุมคณะรัฐมนตรี (ครม.) ว่าที่ประชุมยังไม่ได้หยิบยกประเด็นโคโยตี้มาหารือ ||| แต่ได้หารือร่วมกับรัฐมนตรีกระทรวงที่เกี่ยวข้องอย่างไม่เป็นทางการ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ร่วมมือกับทุกฝ่าย ||| และได้ทำหนังสือเชิญองค์กรรัฐและเอกชนมาประชุมแก้ปัญหาระยะยาวในวันที่ 8 พฤศจิกายนนี้
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ถ้ามีพฤติกรรมที่ไม่เหมาะสมก็ต้องตักเตือนกระทรวงไม่ส่งเสริมแน่นอน ||| แต่บางเรื่องเป็นสิทธิส่วนบุคคล
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ผู้ว่าฯ จะต้องคิดมากกว่านั้น ||| เพราะเป็นประธานคณะกรรมการคุ้มครองเด็กจังหวัด
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ผู้ว่าฯ จะต้องคิดมากกว่านั้นเพราะเป็นประธานคณะกรรมการคุ้มครองเด็กจังหวัด ||| แต่จังหวัดแทบจะไม่ดูแลเรื่องสังคม
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| นายวัลลภกล่าวว่าไม่ใช่เรื่องละเมิดสิทธิ ||| เพราะ พ.ร.บ.สถานบริการห้ามรับเด็กต่ำกว่า 20 ปีเข้าทำงานอยู่แล้ว
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| นายวัลลภกล่าวว่าไม่ใช่เรื่องละเมิดสิทธิเพราะ พ.ร.บ.สถานบริการห้ามรับเด็กต่ำกว่า 20 ปีเข้าทำงานอยู่แล้ว ||| แต่เป็นเรื่องที่ทำได้หรือทำไม่ได้ ซึ่งทุกคนต้องปฏิบัติตาม
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ทรงมีพระราชปรารภว่าไม่เหมาะสม ||| และให้หน่วยงานที่เกี่ยวข้องไปดำเนินการแก้ไขว่าสำนักงานพระพุทธศาสนาแห่งชาติ (พศ.) มีระเบียบของมหาเถรสมาคม (มส.) ปี 2537เรื่องจัดงานวัดเช่นห้ามมิให้มีการแสดงใดๆที่ลบหลู่ดูหมิ่นพุทธศาสนา
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| สำนักงานพระพุทธศาสนาแห่งชาติ (พศ.) มีระเบียบของมหาเถรสมาคม (มส.) ปี 2537เรื่องจัดงานวัด ||| เช่นห้ามมิให้มีการแสดงใดๆที่ลบหลู่ดูหมิ่นพุทธศาสนา
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| แจ้งให้เจ้าคณะใหญ่ไปจนถึงเจ้าคณะจังหวัดทุกจังหวัดรับทราบ ||| และ<*>เจ้าคณะพระสังฆาธิการดูแลการจัดงานวัดให้เป็นไปตามระเบียบมหาเถรสมาคม
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| มีโทษถอดถอนจากพระสังฆาธิการ ||| รวมถึงรายงานให้รัฐมนตรีที่รับผิดชอบรับทราบ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| รายงานให้รัฐมนตรีที่รับผิดชอบรับทราบ ||| และทำหนังสือแจ้งราชเลขานุการในสมเด็จพระนางเจ้าฯ พระบรมราชินีนาถ
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เกิดความรัก ||| และช่วยกันปกป้องพุทธศาสนา
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| จะจัดทำคู่มืออธิบายระเบียบมหาเถรสมาคม ||| และมีตัวอย่างกิจกรรมในงานบุญต่างๆ
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| เลิกกฎอัยการศึกวันที่ 5 ธ.ค. ||| หลัง ปชช.เข้าใจคมช.ดีแล้ว
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เล็งเลิกกฎอัยการศึกวันที่ 5 ธ.ค.หลัง ปชช.เข้าใจคมช.ดีแล้ว ||| พร้อมเตรียมออกสมุดปกขาวแจงต่างประเทศ
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| คมช.เล็งเลิกกฎอัยการศึกวันที่ 5 ธ.ค.หลัง ปชช.เข้าใจคมช.ดีแล้วพร้อมเตรียมออกสมุดปกขาวแจงต่างประเทศ ||| ขณะที่"สุรยุทธ์"รับปากจะเลิกให้เร็วที่สุดเท่าที่ทำได้แต่ขอหารือคมช.หน่วยงานความมั่นคงก่อน
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| รับปากจะเลิกให้เร็วที่สุดเท่าที่ทำได้ ||| แต่ขอหารือคมช.หน่วยงานความมั่นคงก่อน
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ที่"สุรยุทธ์"รับปากจะเลิกให้เร็วที่สุดเท่าที่ทำได้แต่ขอหารือคมช.หน่วยงานความมั่นคงก่อน ||| ขณะที่"พล.อ.สนธิยังค้านชี้ไม่ถึงเวลาอยู่ระหว่างเร่งรวมข้อมูลบางอย่าง
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| สุรยุทธ์สั่ง ครม.ยึด 4 ข้อ"โปร่งใสยุติธรรมการมีส่วนร่วมประหยัด"ตั้ง"โฆสิต"เป็นประธานร่างนโยบายนำศก.พอเพียงมาใช้ทุกภาค ||| ขณะที่"สนธิ"มั่นใจอีก 2 วันประกาศชื่อสภานิติบัญญัติได้คาดทาบ"คณิต ณ นคร"เป็นประธานการประชุมคณะรัฐมนตรี (ครม.)
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| จะมีการพิจารณาหารือเรื่องการยกเลิกกฎอัยการศึก ||| หลังจากที่ถูกหลายชาติโดยเฉพาะสหรัฐอเมริกาเรียกร้องและกดดัน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| เรียกร้อง ||| และกดดัน
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ต้องใช้เวลาสักระยะหนึ่งเพื่อให้สถานการณ์คลี่คลายลงไปก่อน ||| และจะได้พิจารณายกเลิกกฎอัยการศึกให้เร็วที่สุดเท่าที่เราจะทำได้
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| แถลงผลการประชุม ครม.ในเรื่องอื่นด้วยอีกเพียง 5 นาทีโดยไม่เปิดโอกาสให้ผู้สื่อข่าวซักถาม ||| จากนั้นได้กลับขึ้นไปบนตึกสำนักเลขาธิการ ครม.
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ได้กลับขึ้นไปบนตึกสำนักเลขาธิการ ครม. ||| ก่อนกลับไปยังตึกไทยคู่ฟ้าเมื่อเวลา 12.40 น.
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| คงต้องนำมาประมวลในสถานการณ์เพื่อตัดสินใจ ||| แต่ยังบอกเวลาไม่ได้ว่าเมื่อไรต้องแล้วแต่นายกฯ จะพิจารณา
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| ก่อนการประชุม ครม. นายสุรพงษ์ โตวิจักษณ์ชัยกุลประธานเครือข่ายพลังประชาชนเพื่อประเทศไทยและว่าที่ผู้สมัครส.ส.เชียงใหม่พรรคไทยรักไทย(ทรท.) เข้ายื่นหนังสือต่อนายกรัฐมนตรีเพื่อขอให้ ครม.หยิบยกการยกเลิกกฎอัยการศึกขึ้นมาพิจารณาเป็นวาระแรกของการประชุมเพื่อแสดงให้สังคมไทยและสังคมโลกได้รับทราบถึงแนวทางระบอบประชาธิปไตยที่ ครม.ยึดมั่นอยู่ในจิตใจ"สนธิ"ยันยังไม่เลิก ||| อย่างไรก็ดีเมื่อเวลา 13.30 น. วันเดียวกันพล.อ.สนธิ บุญยรัตกลิน ในฐานะประธานคมช.กล่าวถึงเรื่องเดียวกันว่าขณะนี้คงจะไม่ประกาศยกเลิกกฎอัยการศึกแน่นอนเพราะยังไม่ถึงเวลาเหมาะสมเนื่องจากระหว่างนี้ยังต้องเร่งทำงานรวบรวมข้อมูลบางอย่างอยู่
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ขณะนี้คงจะไม่ประกาศยกเลิกกฎอัยการศึกแน่นอน ||| เพราะยังไม่ถึงเวลาเหมาะสม
