['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| la intranet è cambiata ||| ci sono diverse diciamo modifiche in il nelle interfacce
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ogni tanto dà anche errore <CHAR> <NUM> ||| però quando è venuto il tecnico mi aveva spiegato come come sbloccar lo
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| quando è venuto il tecnico ||| mi aveva spiegato come come sbloccar lo
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| mi aveva spiegato come come sbloccar lo ||| questo qua <*> questo qua invece non so <*> questo qua invece non so non so
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| errore <CHAR> <NUM> si inceppa la carta allora adesso ho tolto tutti i fogli però mi dà comunque errore <NUM> e non riesco proprio più a lavorare <*> quindi ||| inceppa proprio i fogli a l' interno
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| allora le lascio <*> allora le lascio il numero di la chiamata ||| vedo di mandar gli l' assistenza hardware
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| mi chiedevi informazioni su una richiesta che avevi aperto ||| io ho aperto vero questa richiesta per cui praticamente da ieri non riesco più ad accedere a la <SW> <SW>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io ho aperto <*> io ho aperto questa richiesta ||| per cui praticamente da ieri non riesco più ad accedere a la <SW> <SW>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| il motivo può essere legato a a la password man mancat match tra la password di la user <*> quindi ||| avrebbero dovuto resettar me resettar me
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| quindi avrebbero dovuto resettar me resettar me ||| soltanto io sono fuori sede
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| soltanto io sono fuori sede quindi ||| avrei proprio bisogno di entrare in la posta
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| avrei proprio bisogno di entrare in la posta ||| e i suoi colleghi già due volte hanno sollecitato l' intervento a i sistemisti
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| i suoi colleghi già due volte hanno sollecitato l' intervento a i sistemisti ||| ma non non so se adesso sia <*> ma non non so se adesso sia sbloccata la
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| non hanno mica <*> non hanno mica fatto sai ||| ma <*> vedo che c' è la la richiesta aperta
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| vedo che c' è la la richiesta aperta che è la <NUM> <DIGIT> <DIGIT> <DIGIT> <DIGIT> vero ||| però vedo che aimè i sistemisti non hanno ancora chiuso l' intervento
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| i sistemisti non hanno ancora chiuso l' intervento quindi ||| devo assolutamente sollecitar te con urgenza
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| bisogna connettere una stampante di rete ||| ma in teoria io questa con connessione l' avrei
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| in teoria io questa con connessione l' avrei ||| perché a me risultava
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| a me risultava ||| sarebbe una stampante <CHAR> <CHAR> <DIGIT> <DIGIT> <CHAR> <DIGIT> <DIGIT> su <CHAR> <CHAR> <CHAR> <NUM> off <DIGIT> <DIGIT>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| in teoria io questa con connessione l' avrei ||| però in la realtà <*> però in la realtà ecco questa stampante qua mi risulta essere a il <ORD> piano dove in effetti sono io però dovrebbe esser in l' ufficio di questa persona <PER>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ecco questa stampante qua mi risulta essere a il <ORD> piano dove in effetti sono io ||| però dovrebbe esser in l' ufficio di questa persona <PER>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| dovrebbe esser in l' ufficio di questa persona <PER> ||| infatti qua <*> infatti qua c' è scritto ufficio <PER>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| c' è scritto ufficio <PER> ||| però mi dice che non è la <DIGIT> <DIGIT> quella c' è da <PER> ma è la <DIGIT> <DIGIT>
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| non è la <DIGIT> <DIGIT> quella c' è da <PER> ||| ma è la <DIGIT> <DIGIT>
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho parlato con <PER> ||| m' ha detto che è la <DIGIT> <DIGIT>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| m' ha detto che è la <DIGIT> <DIGIT> quindi ||| io ho mandato in stampa a lo <DIGIT> <DIGIT>
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io ho mandato in stampa a lo <DIGIT> <DIGIT> ||| adesso per fortuna sono riuscita ad anullar lo
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| <DIGIT> <DIGIT> <DIGIT> qua pare <PER> ||| invece la <DIGIT> mi ha detto giusto
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ma che sia stata una stampante maga stampante tolta ||| magari non hanno fatto le modifiche
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| è un <BRAND> <BRAND> quella di il signor <PER> vero ||| invece qua pare che il signor <PER> abbia una <BRAND>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| invece qua pare che il signor <PER> abbia una <BRAND> <*> allora ||| io le connetto la stampante giusta
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| vado a vedere un attimo una <*> cosa ||| intanto <*> esco solo da il <*> esco solo da il ufficio un secondo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| forse è come abbiamo detto <*> allora ||| provo a lanciare una stampa
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| c' è una stampante c' è ||| però non è collegata
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| non è collegata ||| può dar si che un tempo fosse stata collegata
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| no no no ||| perché io utilizzo un' altra che in questo momento sta funzionando male
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| perché io utilizzo un' altra che in questo momento sta funzionando male ||| la la tengo <*> la la tengo tengo come seconda
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| allora è in carico a il gruppo fonia di il <ORG> il gruppo praticamente di <PER> ||| io adesso devo fare un sollecito perchè vedo che non hanno ancora presa in carico
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io adesso devo fare un sollecito ||| perchè vedo che non hanno ancora presa in carico
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| faccio subito un sollecito telefonico urgente ||| chiamo <PER> un attimino
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| chiamo <PER> un attimino ||| chiedo appunto di intervenire a il più presto possibile
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| il problema è che non riesco ad entrare io ||| non so se vuol provare
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| il problema è che non riesco ad entrare io ||| io metto il mio badge eccetera digito il PIN però non entra
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| io metto il mio badge eccetera digito il PIN ||| però non entra
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| non entra ||| cioè <*> viene fuori una videata bianca
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| 66 ||| perchè appare una videata bianca
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| io metto il mio badge eccetera digito il PIN ||| ho <*> anche provato a spegnere e riaccendere <*> anche provato a spegnere e riaccendere provato a spegnere e riaccendere
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ho anche provato a spegnere e riaccendere ||| ma no niente
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| 170 ||| però questo è quello vecchio
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| però questo è quello vecchio ||| questo qua è quello vecchio infatti
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| chiudiamo un attimo ||| e allora riapriamo da capo
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| metta il PIN ||| diamo sì diamo okay
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| diamo sì diamo okay ||| ridiamo sì
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| diamo sì diamo okay ridiamo sì ||| poi viene fuori okay area personale
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ecco poi viene fuori okay area personale ||| poi apriamo le procedure
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| okay poi apriamo le procedure poi delibere delibere e determine e determine atti amministrativi okay deli determine determine ||| poi viene così
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| poi viene così ||| e adesso non so se viene
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| mi arrabbio ||| perchè ho provato già dieci volte
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| rimane così ||| rimane lì in schermata bianca
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| rimane lì in schermata bianca ||| no no no non compare niente
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| no no no non compare niente ||| invece delibera va
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| provo con delibere ||| usciamo di nuovo da qua
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho cercato di trasmettere una determina come diciamo ultimo passaggio ||| poi sono uscita
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| poi sono uscita ||| e mi è mi è venuto fuori che non non poteva essere trasmessa
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| mi è venuto fuori che non non poteva essere trasmessa ||| io <*> però sono uscita da tutto perchè ho detto ancora qui <*> però sono uscita da tutto perchè ho detto ancora qui sono uscita da tutto perchè ho detto ancora qui
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| io però sono uscita da tutto ||| perchè ho detto ancora qui
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| io però sono uscita da tutto perchè ho detto ancora qui ||| e ho provato a ricercar la
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| ho provato a ricercar la ||| e <*> rimane tutto bloccato
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| lo uso solo io ||| però potrei provare io e andare in un altro computer
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| potrei provare io e andare in un altro computer ||| c' è una mia collega che ogni tanto lo fa
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| c' è una mia collega che ogni tanto lo fa quando io non ci sono ||| potrei andare da lei
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| c' è una mia collega che ogni tanto lo fa ||| quando io non ci sono
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| potrei andare da lei ||| ma mi dispiace far la mandare di là
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| le dà applicazione già attiva adesso ||| ma sempre mi ha dato così
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| chiedo a i colleghi di le di gli atti amministrativi se ci sono problemi su le determine ||| io <*> poi intanto magari provo a andare a vedere di là se <*> poi intanto magari provo a andare a vedere di là se intanto magari provo a andare a vedere di là se
['Temporal', 'Temporal.Synchrony', 'and'] ||| [None, None, None] ||| chiedo a i colleghi di le di gli atti amministrativi se ci sono problemi su le determine ||| io poi <*> io poi intanto magari provo a andare a vedere di là se <*> io poi intanto magari provo a andare a vedere di là se magari provo a andare a vedere di là se
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| ma è meglio con il mio badge ||| o faccio provare con il badge di la signora
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| almeno capisco se ||| più che altro è per capire se è un problema
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| più che altro è per capire se è un problema ||| voglio capire se è un problema centralizzato su determine o vi verifica solo sul su il mio <*> computer
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| è un problema centralizzato su determine ||| o vi verifica solo sul <*> o vi verifica solo sul suo computer
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| vado a provare ||| mi fa eventualmente saper qualcosa
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| io sono <PER> ||| chieda di me
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| adesso ha quello nuovo ||| e ha urgente bisogno di avere di nuovo il PIN e il PUC
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| adesso ha quello nuovo ||| gli hanno dato un sì nuovo un nuovo badge
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| ha urgente bisogno di avere di nuovo il PIN e il PUC ||| ed è un sollecito proprio urgente
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è un sollecito proprio urgente ||| perchè come dirigente deve entrare in le procedure
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| ed è un sollecito proprio urgente perchè come dirigente deve entrare in le procedure ||| in realtà i solleciti sono due
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| in realtà i solleciti sono due ||| un altro è per un collega <PER> <PER>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| sono due cose diverse ||| <PER> <PER> ha smarrito il badge e quindi ha la necessità di un PIN e un PUC nuovo <*> <PER> <PER> ha smarrito il badge e quindi ha la necessità di un PIN e un PUC nuovo <PER> <PER> <*> <PER> <PER> ha smarrito il badge e quindi ha la necessità di un PIN e un PUC nuovo <PER> <PER> il badge non l' ha smarrito ma ha smarrito il PIN e il PUC
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| <PER> <PER> ha smarrito il badge ||| e quindi ha la necessità di un PIN e un PUC nuovo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| <PER> <PER> ha smarrito il badge <*> quindi ||| ha la necessità di un PIN e un PUC nuovo
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| <PER> <PER> ha smarrito il badge e quindi ha la necessità di un PIN e un PUC nuovo e ||| io sollecito
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| <PER> <PER> ha smarrito il badge e quindi ha la necessità di un PIN e un PUC nuovo ||| <PER> <PER> <*> <PER> <PER> il badge non l' ha smarrito ma ha smarrito il PIN e il PUC
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| il badge non l' ha smarrito ||| ma ha smarrito il PIN e il PUC
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| oggi è la giornata di i PIN e i PUC <*> oggi è la giornata di i PIN e i PUC ma tantissimi ||| perchè con la nuova procedura intranet se non hanno il PIN e il PUC non possono neanche veder si le <*> bollature
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| oggi è la giornata di i PIN e i PUC ||| in il senso che è la giornata di i PIN e PUC
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è la giornata di i PIN e PUC ||| in il senso che tanti <*> in il senso che tanti stanno chiamando che l' hanno persi
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| prima stavano bene così ||| sono cambiate un pò di <*> sono cambiate un pò di cose con la nuova <*> intranet
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| quello di il dirigente è un sollicitone grandissimo <*> quello di il dirigente è un sollicitone grandissimo per la per l' accesso a la procedura ||| perfetto qua mettiamo urgentissimo
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| questo glie lo mettiamo <*> questo glie lo mettiamo come massima urgenza ||| insomma <*> qua mettiamo urgentissimo
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| diciamo che quello di il dirigente è un sollicitone grandissimo <*> diciamo che quello di il dirigente è un sollicitone grandissimo per la per l' accesso a la procedura ||| poi se va viaggiano insieme va bene lo stesso
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| devo aprire solo due due chiamate due chiamate due richieste diverse ||| e questo è per il dirigente
['Expansion', 'Expansion.Conjunction', 'and'] ||| [None, None, None] ||| questo è per il dirigente ||| l' altro mi ha detto che si chiama il suo collega
['Expansion', 'Expansion.Instantiation', 'and'] ||| [None, None, None] ||| devo aprire solo due due chiamate due chiamate due richieste diverse okay ||| l' altro mi ha detto che si chiama il suo collega <PER> <PER>
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| ha smarrito il PIN e il PUC <*> quindi ||| chiediamo appunto il reinvio di i dati
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| <PER> <PER> <*> <PER> <PER> ha smarrito il PIN e il PUC PIN e PUC e quindi chiediamo appunto il reinvio di i dati ||| allora <PER> <PER> richiede invio dati <*> allora <PER> <PER> richiede invio dati PIN e PUC
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| devo aprire solo due due chiamate due chiamate due richieste diverse ||| apro per entrambe
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| mi preoccupavo per <PER> <PER> ||| in il senso che lui non è abilitato a nessuna procedura a l' interno
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| lui non è abilitato a nessuna procedura a l' interno allora ||| dovete fare richiesta di <*> abilitazione
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| dovete fare richiesta di <*> abilitazione ||| a questo punto devo non devo prima fare la richiesta <*> a questo punto devo non devo prima fare la richiesta di abilitazione a il protocollo ad esempio
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| quindi a questo punto devo non devo prima fare la richiesta ||| perchè <*> un tempo mandavate la lettera di il PIN e il PUC anche se non eravamo abilitati no
['Expansion', 'Expansion.Alternative', 'and'] ||| [None, None, None] ||| glie l' apro io ||| o fa richiesta
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| un tempo mandavate la lettera di il PIN e il PUC anche se ||| non eravamo abilitati
['Comparison', 'Comparison.Concession', 'and'] ||| [None, None, None] ||| un tempo mandavate la lettera di il PIN e il PUC anche se non eravamo abilitati ||| però guardi le dico io mi mi è capitato in passato di aprire di le chiamate di questo tipo in il <*> però guardi le dico io mi mi è capitato in passato di aprire di le chiamate di questo tipo in il senso di reinvio PIN e PUC per <*> però guardi le dico io mi mi è capitato in passato di aprire di le chiamate di questo tipo in il senso di reinvio PIN e PUC per persone che magari non erano abilitate <*> però guardi le dico io mi mi è capitato in passato di aprire di le chiamate di questo tipo in il senso di reinvio PIN e PUC per persone che magari non erano abilitate e il gruppo di le abilitazioni mi ha detto guarda <*> però guardi le dico io mi mi è capitato in passato di aprire di le chiamate di questo tipo in il senso di reinvio PIN e PUC per persone che magari non erano abilitate e il gruppo di le abilitazioni mi ha detto guarda prima va fatta la richiesta di abilitazione per questa persona
['Temporal', 'Temporal.Asynchronous', 'and'] ||| [None, None, None] ||| mi è capitato in passato di aprire di le chiamate di questo tipo in il <*> mi è capitato in passato di aprire di le chiamate di questo tipo in il senso di reinvio PIN e PUC per <*> mi è capitato in passato di aprire di le chiamate di questo tipo in il senso di reinvio PIN e PUC per persone che magari non erano abilitate ||| e il gruppo di le abilitazioni mi ha detto guarda <*> e il gruppo di le abilitazioni mi ha detto guarda prima va fatta la richiesta di abilitazione per questa persona
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| allora <*> prima va fatta la richiesta di abilitazione per questa persona ||| 596
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| allora <*> prima va fatta la richiesta di abilitazione per questa persona ||| faccio prima la richiesta
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| allora cancelli <*> <PER> ||| annulliamo <*> <PER>
['Comparison', 'Comparison.Contrast', 'and'] ||| [None, None, None] ||| allora ca <PER> annulliamo <*> <PER> ||| però per il dirigente <*> però per il dirigente la manteniamo buona urgente
['Contingency', 'Contingency.Cause', 'and'] ||| [None, None, None] ||| è abilitato ||| non c' è problema
['Expansion', 'Expansion.Restatement', 'and'] ||| [None, None, None] ||| per il dirigente <*> per il dirigente la manteniamo buona urgente ||| facciamo così
